op,hex,fmt,name,len
0,00,10x,nop,2
1,01,12x,move,2
2,02,22x,move/from16,4
3,03,32x,move/16,6
4,04,12x,move-wide,2
5,05,22x,move-wide/from16,4
6,06,32x,move-wide/16,6
7,07,12x,move-object,2
8,08,22x,move-object/from16,4
9,09,32x,move-object/16,6
10,0a,11x,move-result,2
11,0b,11x,move-result-wide,2
12,0c,11x,move-result-object,2
13,0d,11x,move-exception,2
14,0e,10x,return-void,2
15,0f,11x,return,2
16,10,11x,return-wide,2
17,11,11x,return-object,2
18,12,11n,const/4,2
19,13,21s,const/16,4
20,14,31i,const,6
21,15,21h,const/high16,4
22,16,21s,const-wide/16,4
23,17,31i,const-wide/32,6
24,18,51l,const-wide,10
25,19,21h,const-wide/high16,4
26,1a,21c,const-string,4
27,1b,31c,const-string/jumbo,6
28,1c,21c,const-class,4
29,1d,11x,monitor-enter,2
30,1e,11x,monitor-exit,2
31,1f,21c,check-cast,4
32,20,22c,instance-of,4
33,21,12x,array-length,2
34,22,21c,new-instance,4
35,23,22c,new-array,4
36,24,35c,filled-new-array,6
37,25,3rc,filled-new-array/range,6
38,26,31t,fill-array-data,6
39,27,11x,throw,2
40,28,10t,goto,2
41,29,20t,goto/16,4
42,2a,30t,goto/32,6
43,2b,31t,packed-switch,6
44,2c,31t,sparse-switch,6
45,2d,23x,cmpl-float,4
46,2e,23x,cmpg-float,4
47,2f,23x,cmpl-double,4
48,30,23x,cmpg-double,4
49,31,23x,cmp-long,4
50,32,22t,if-eq,4
51,33,22t,if-ne,4
52,34,22t,if-lt,4
53,35,22t,if-ge,4
54,36,22t,if-gt,4
55,37,22t,if-le,4
56,38,21t,if-eqz,4
57,39,21t,if-nez,4
58,3a,21t,if-ltz,4
59,3b,21t,if-gez,4
60,3c,21t,if-gtz,4
61,3d,21t,if-lez,4
62,3e,10x,unused,2
63,3f,10x,unused,2
64,40,10x,unused,2
65,41,10x,unused,2
66,42,10x,unused,2
67,43,10x,unused,2
68,44,23x,aget,4
69,45,23x,aget-wide,4
70,46,23x,aget-object,4
71,47,23x,aget-boolean,4
72,48,23x,aget-byte,4
73,49,23x,aget-char,4
74,4a,23x,aget-short,4
75,4b,23x,aput,4
76,4c,23x,aput-wide,4
77,4d,23x,aput-object,4
78,4e,23x,aput-boolean,4
79,4f,23x,aput-byte,4
80,50,23x,aput-char,4
81,51,23x,aput-short,4
82,52,22c,iget,4
83,53,22c,iget-wide,4
84,54,22c,iget-object,4
85,55,22c,iget-boolean,4
86,56,22c,iget-byte,4
87,57,22c,iget-char,4
88,58,22c,iget-short,4
89,59,22c,iput,4
90,5a,22c,iput-wide,4
91,5b,22c,iput-object,4
92,5c,22c,iput-boolean,4
93,5d,22c,iput-byte,4
94,5e,22c,iput-char,4
95,5f,22c,iput-short,4
96,60,21c,sget,4
97,61,21c,sget-wide,4
98,62,21c,sget-object,4
99,63,21c,sget-boolean,4
100,64,21c,sget-byte,4
101,65,21c,sget-char,4
102,66,21c,sget-short,4
103,67,21c,sput,4
104,68,21c,sput-wide,4
105,69,21c,sput-object,4
106,6a,21c,sput-boolean,4
107,6b,21c,sput-byte,4
108,6c,21c,sput-char,4
109,6d,21c,sput-short,4
110,6e,35c,invoke-virtual,6
111,6f,35c,invoke-super,6
112,70,35c,invoke-direct,6
113,71,35c,invoke-static,6
114,72,35c,invoke-interface,6
115,73,10x,unused,2
116,74,3rc,invoke-virtual/range,6
117,75,3rc,invoke-super/range,6
118,76,3rc,invoke-direct/range,6
119,77,3rc,invoke-static/range,6
120,78,3rc,invoke-interface/range,6
121,79,10x,unused,2
122,7a,10x,unused,2
123,7b,12x,neg-int,2
124,7c,12x,not-int,2
125,7d,12x,neg-long,2
126,7e,12x,not-long,2
127,7f,12x,neg-float,2
128,80,12x,neg-double,2
129,81,12x,int-to-long,2
130,82,12x,int-to-float,2
131,83,12x,int-to-double,2
132,84,12x,long-to-int,2
133,85,12x,long-to-float,2
134,86,12x,long-to-double,2
135,87,12x,float-to-int,2
136,88,12x,float-to-long,2
137,89,12x,float-to-double,2
